customer_id,first_name,last_name,country,customer_segment,total_bookings,total_booking_value,average_booking_value,total_payment_attempts,total_failed_payments,total_successful_payments,total_retries,total_events,average_journey_duration,maximum_journey_duration,average_friction_score,maximum_friction_score,total_anomalies,critical_journeys,high_risk_journeys,customer_payment_attempts,customer_successful_payments,customer_failed_payments,customer_payment_success_rate,customer_risk_score,customer_risk_level,behavior_profile
C000002,Angel,Hart,Other,Standard,3,7712.4,2570.8,4,1,3,1,24,68.59,90.67,10.0,30.0,0,0,0,4,3,1,0.75,8.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000003,Joshua,Stone,United Kingdom,Premium,2,5780.57,2890.28,2,0,2,0,14,73.86,93.42,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000004,Jeffrey,Welch,Pakistan,Standard,1,1842.96,1842.96,1,0,1,0,7,51.73,51.73,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000005,Jill,Vasquez,Saudi Arabia,Standard,2,3260.06,1630.03,2,0,2,0,14,60.8,77.65,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000006,Erica,White,Saudi Arabia,Standard,1,4497.45,4497.45,1,0,1,0,7,69.98,69.98,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000007,Patricia,Lynch,Saudi Arabia,Standard,1,3455.41,3455.41,2,1,1,1,10,93.07,93.07,30.0,30.0,0,0,0,2,1,1,0.5,8.0,LOW,NORMAL_CUSTOMER
C000008,Christopher,Erickson,Other,Standard,2,5822.62,2911.31,2,0,2,0,14,46.02,51.33,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000010,Anthony,Smith,United Kingdom,Standard,3,12121.17,4040.39,3,0,3,0,21,63.1,68.5,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000011,Jeffery,Johnson,Saudi Arabia,Standard,1,2406.1,2406.1,1,0,1,0,7,60.67,60.67,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000012,William,Garrett,Other,Standard,2,6927.23,3463.62,4,2,2,2,19,73.24,93.73,50.0,100.0,3,1,0,4,2,2,0.5,51.0,HIGH,FRICTION_PRONE_CUSTOMER
C000013,Anthony,Wilson,United States,Premium,1,1750.67,1750.67,3,2,1,2,12,107.13,107.13,100.0,100.0,3,1,0,3,1,2,0.33,51.0,HIGH,FRICTION_PRONE_CUSTOMER
C000014,James,Charles,Saudi Arabia,Premium,1,589.09,589.09,2,1,1,1,10,60.47,60.47,30.0,30.0,0,0,0,2,1,1,0.5,8.0,LOW,NORMAL_CUSTOMER
C000016,Amy,Duarte,Saudi Arabia,Premium,1,3101.8,3101.8,1,0,1,0,7,79.47,79.47,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000017,Jeffrey,Gutierrez,United Arab Emirates,Standard,3,7188.97,2396.32,3,0,3,0,21,65.21,75.62,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000019,Lisa,Castro,United Arab Emirates,Premium,7,19257.99,2751.14,11,4,7,4,59,79.38,109.93,30.71,65.0,6,0,2,11,7,4,0.64,82.0,CRITICAL,HIGH_RISK_CUSTOMER
C000021,Linda,Smith,Pakistan,VIP,2,2187.74,1093.87,2,0,2,0,13,78.15,88.95,20.0,40.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000022,Helen,Harris,Saudi Arabia,Standard,3,6247.24,2082.41,3,0,3,0,21,52.93,62.52,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000023,Matthew,Campbell,Saudi Arabia,Standard,1,1485.49,1485.49,1,0,1,0,6,73.55,73.55,40.0,40.0,1,0,0,1,1,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000025,Susan,Parker,United Arab Emirates,Premium,2,6066.56,3033.28,2,0,2,0,14,72.36,88.55,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000026,Matthew,Hunter,United States,Standard,1,2902.33,2902.33,1,0,1,0,7,97.17,97.17,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000027,Christopher,Nguyen,Saudi Arabia,Standard,1,2273.86,2273.86,1,0,1,0,7,61.25,61.25,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000028,Colin,Smith,Pakistan,Premium,2,6859.04,3429.52,4,2,2,2,20,73.76,81.23,30.0,30.0,0,0,0,4,2,2,0.5,16.0,LOW,FRICTION_PRONE_CUSTOMER
C000029,Melanie,Jennings,Pakistan,Standard,3,11903.06,3967.69,3,0,3,0,19,70.01,81.45,26.67,40.0,2,0,0,3,3,0,1.0,10.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000031,Lindsay,Ramsey,Pakistan,Premium,1,4021.81,4021.81,2,1,1,1,10,45.53,45.53,30.0,30.0,0,0,0,2,1,1,0.5,8.0,LOW,NORMAL_CUSTOMER
C000033,Amanda,Johnson,Saudi Arabia,Standard,1,1287.64,1287.64,1,0,1,0,7,95.2,95.2,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000035,Nicholas,Rivera,Other,Standard,2,3213.44,1606.72,4,2,2,2,19,50.92,52.1,55.0,65.0,3,0,1,4,2,2,0.5,41.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000036,Andrea,Morgan,United States,Premium,1,4185.64,4185.64,1,0,1,0,7,43.3,43.3,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000037,Maria,Chambers,United Arab Emirates,VIP,1,1355.17,1355.17,1,0,1,0,7,93.22,93.22,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000039,Michelle,Robles,United Kingdom,Standard,3,8115.3,2705.1,3,0,3,0,20,66.51,85.63,15.0,45.0,1,0,0,3,3,0,1.0,5.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000041,Janet,Olson,Saudi Arabia,Standard,2,4848.79,2424.4,2,0,2,0,13,77.74,77.92,20.0,40.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000043,Jeremy,Mcclain,Saudi Arabia,Standard,2,2654.19,1327.09,2,0,2,0,13,83.6,87.7,20.0,40.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000044,Keith,Herrera,Other,Standard,1,4920.14,4920.14,1,0,1,0,6,49.9,49.9,45.0,45.0,1,0,0,1,1,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000045,Christopher,Rogers,Saudi Arabia,Premium,3,4953.31,1651.1,3,0,3,0,21,67.9,98.93,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000047,Craig,Gutierrez,United Arab Emirates,Premium,1,4009.48,4009.48,1,0,1,0,7,66.3,66.3,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000049,Cynthia,Conley,Pakistan,Standard,2,5359.21,2679.6,4,2,2,2,19,61.43,89.68,55.0,75.0,1,0,1,4,2,2,0.5,31.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000050,Michael,Evans,Saudi Arabia,Standard,1,1035.62,1035.62,2,1,1,1,10,44.22,44.22,30.0,30.0,0,0,0,2,1,1,0.5,8.0,LOW,NORMAL_CUSTOMER
C000052,Jason,Stewart,United States,Standard,1,2532.53,2532.53,1,0,1,0,7,84.23,84.23,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000053,Joseph,Herrera,Other,Premium,2,5431.52,2715.76,3,1,2,1,15,52.77,55.62,55.0,70.0,2,0,1,3,2,1,0.67,28.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000054,Sharon,Clark,Other,Standard,2,3924.74,1962.37,3,1,2,1,17,36.44,37.38,15.0,30.0,0,0,0,3,2,1,0.67,8.0,LOW,NORMAL_CUSTOMER
C000055,Deborah,Jennings,Pakistan,Standard,1,3005.0,3005.0,2,1,1,1,10,73.52,73.52,30.0,30.0,0,0,0,2,1,1,0.5,8.0,LOW,NORMAL_CUSTOMER
C000056,Chelsea,Marsh,Other,Standard,1,4975.45,4975.45,1,0,1,0,6,54.45,54.45,40.0,40.0,1,0,0,1,1,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000058,Jessica,Gomez,Saudi Arabia,Standard,1,741.2,741.2,1,0,1,0,7,64.73,64.73,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000059,Frank,Montes,Saudi Arabia,Standard,1,1028.04,1028.04,1,0,1,0,7,100.9,100.9,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000061,Veronica,Johnson,United Arab Emirates,Premium,4,13033.24,3258.31,7,3,4,3,36,70.73,88.48,35.0,65.0,3,0,1,7,4,3,0.57,49.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000063,Angela,Sims,United States,Standard,1,2375.54,2375.54,1,0,1,0,6,90.7,90.7,40.0,40.0,1,0,0,1,1,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000065,Megan,Duncan,Saudi Arabia,Standard,2,5323.12,2661.56,5,3,2,3,23,73.3,75.18,50.0,65.0,2,0,1,5,2,3,0.4,44.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000066,Kimberly,Price,Pakistan,Standard,1,4813.96,4813.96,2,1,1,1,10,60.98,60.98,30.0,30.0,0,0,0,2,1,1,0.5,8.0,LOW,NORMAL_CUSTOMER
C000067,Jeremy,Larson,Saudi Arabia,Standard,4,8420.78,2105.2,7,3,4,3,34,62.39,81.52,55.0,100.0,5,1,1,7,4,3,0.57,79.0,CRITICAL,HIGH_RISK_CUSTOMER
C000068,Antonio,Hancock,United States,Standard,3,9919.12,3306.37,4,1,3,1,24,84.22,89.25,10.0,30.0,0,0,0,4,3,1,0.75,8.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000070,Joseph,Thornton,Other,Standard,1,4199.51,4199.51,3,2,1,2,13,77.12,77.12,65.0,65.0,2,0,1,3,1,2,0.33,36.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000072,Sherri,Johnson,Saudi Arabia,Standard,3,8351.73,2783.91,6,3,3,3,29,78.93,89.62,46.67,75.0,3,0,2,6,3,3,0.5,59.0,HIGH,FRICTION_PRONE_CUSTOMER
C000073,Nancy,Gutierrez,Saudi Arabia,Standard,4,8678.76,2169.69,5,1,4,1,29,62.62,82.95,28.75,75.0,2,0,1,5,4,1,0.8,28.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000075,Diana,Young,United Kingdom,Standard,4,7737.76,1934.44,6,2,4,2,34,59.34,87.52,16.25,65.0,2,0,1,6,4,2,0.67,36.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000076,Randall,Hayes,United Kingdom,Standard,2,6203.28,3101.64,4,2,2,2,20,99.48,109.18,32.5,65.0,2,0,1,4,2,2,0.5,36.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000078,Stephen,Robinson,Saudi Arabia,Standard,2,4388.19,2194.09,2,0,2,0,14,81.06,81.43,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000079,Joseph,Turner,United Arab Emirates,Standard,2,3500.91,1750.46,2,0,2,0,14,69.07,77.42,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000082,Jose,Strickland,Pakistan,Premium,1,2925.28,2925.28,1,0,1,0,7,78.23,78.23,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000083,Brenda,Gentry,United Arab Emirates,Premium,2,6669.94,3334.97,2,0,2,0,14,50.84,76.9,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000084,Rachael,Wallace,Saudi Arabia,VIP,1,4153.24,4153.24,1,0,1,0,7,49.52,49.52,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000085,Reginald,Johnson,United Arab Emirates,Premium,1,2171.27,2171.27,1,0,1,0,7,57.33,57.33,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000086,Jeffrey,Webb,United Arab Emirates,Premium,1,4809.67,4809.67,1,0,1,0,7,69.37,69.37,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000087,Whitney,Porter,United Kingdom,Standard,2,5301.37,2650.68,3,1,2,1,17,97.38,100.1,17.5,35.0,0,0,0,3,2,1,0.67,8.0,LOW,NORMAL_CUSTOMER
C000088,William,Lee,Pakistan,Standard,1,715.88,715.88,3,2,1,2,13,90.97,90.97,60.0,60.0,2,0,1,3,1,2,0.33,36.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000090,Brandon,Oconnor,United Arab Emirates,Standard,4,10761.5,2690.38,4,0,4,0,28,54.01,70.45,0.0,0.0,0,0,0,4,4,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000091,Daniel,Mills,Saudi Arabia,Standard,1,1342.12,1342.12,1,0,1,0,7,50.48,50.48,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000092,Courtney,Rowe,United Kingdom,VIP,1,552.89,552.89,1,0,1,0,7,30.23,30.23,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000095,Bryan,Short,United States,Standard,2,7167.53,3583.77,4,2,2,2,20,79.6,95.53,32.5,65.0,2,0,1,4,2,2,0.5,36.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000098,Allison,Anderson,United Arab Emirates,Standard,1,2817.88,2817.88,1,0,1,0,7,67.58,67.58,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000099,Tasha,Hardy,Saudi Arabia,Standard,3,5185.18,1728.39,4,1,3,1,24,70.73,90.15,10.0,30.0,0,0,0,4,3,1,0.75,8.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000101,Alexander,Reeves,Saudi Arabia,Standard,1,3306.38,3306.38,1,0,1,0,7,78.87,78.87,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000105,Joseph,Mcdaniel,Other,Standard,1,3872.77,3872.77,1,0,1,0,7,65.6,65.6,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000106,Danielle,Wheeler,Saudi Arabia,Standard,3,9051.36,3017.12,3,0,3,0,21,55.0,71.52,0.0,0.0,0,0,0,3,3,0,1.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER
C000110,Stephanie,Meyer,Saudi Arabia,Standard,2,8469.37,4234.68,2,0,2,0,13,74.65,78.58,20.0,40.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000111,Nancy,Hopkins,Saudi Arabia,Premium,1,1198.43,1198.43,3,2,1,2,13,69.28,69.28,60.0,60.0,2,0,1,3,1,2,0.33,36.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000113,Vincent,Lane,Other,Standard,1,3974.09,3974.09,2,1,1,1,10,41.83,41.83,35.0,35.0,0,0,0,2,1,1,0.5,8.0,LOW,NORMAL_CUSTOMER
C000114,Guy,Collins,United States,Standard,1,3205.08,3205.08,1,0,1,0,7,81.4,81.4,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000115,Rita,Mcclain,Pakistan,Standard,2,2002.86,1001.43,5,3,2,3,23,88.32,109.48,50.0,65.0,2,0,1,5,2,3,0.4,44.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000116,Monica,Flores,Other,Standard,4,13661.22,3415.3,7,3,4,3,36,60.7,91.52,33.75,65.0,3,0,1,7,4,3,0.57,49.0,MEDIUM,FRICTION_PRONE_CUSTOMER
C000117,Kenneth,Lee,United States,Premium,2,9096.21,4548.1,2,0,2,0,13,53.74,56.65,22.5,45.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000118,Danielle,Hill,Saudi Arabia,Premium,1,1960.71,1960.71,1,0,1,0,7,75.95,75.95,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000119,Chelsea,Flores,Other,Standard,1,1975.99,1975.99,1,0,1,0,7,73.28,73.28,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000120,Eric,Alexander,Pakistan,Premium,1,1215.17,1215.17,1,0,1,0,7,51.72,51.72,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000121,Kathryn,Wilson,United States,Standard,2,5188.59,2594.3,3,1,2,1,17,86.21,88.7,15.0,30.0,0,0,0,3,2,1,0.67,8.0,LOW,NORMAL_CUSTOMER
C000122,Amber,Hernandez,Other,Standard,1,1000.36,1000.36,1,0,1,0,6,44.95,44.95,40.0,40.0,1,0,0,1,1,0,1.0,5.0,LOW,NORMAL_CUSTOMER
C000123,Kimberly,Hill,United Arab Emirates,Standard,2,6724.14,3362.07,2,0,2,0,14,68.7,77.18,0.0,0.0,0,0,0,2,2,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000124,Alyssa,Smith,Saudi Arabia,Standard,1,4389.49,4389.49,1,0,1,0,7,84.52,84.52,0.0,0.0,0,0,0,1,1,0,1.0,0.0,LOW,NORMAL_CUSTOMER
C000125,Aaron,Dean,Saudi Arabia,Standard,2,3277.29,1638.64,2,0,2,0,13,51.32,65.43,20.0,40.0,1,0,0,2,2,0,1.0,5.0,LOW,NORMAL_CUSTOMER
