customer_id,first_name,last_name,country,customer_segment,booking_id,trip_id,booking_date,booking_status,booking_amount,destination,trip_type,departure_date,return_date,days_before_departure,base_price,price_difference,price_ratio,payment_attempts,failed_payments,successful_payments,retry_count,payment_success_rate,payment_duration_minutes,payment_methods_used,payment_failures_reasons,total_events,search_events,view_trip_events,booking_started_events,booking_created_events,payment_started_events,payment_failed_events,payment_retry_events,payment_completed_events,booking_confirmed_events,journey_duration_minutes,friction_score,risk_level,anomaly_count,anomaly_summary,total_bookings,total_booking_value,average_booking_value,total_payment_failures,total_payment_attempts,average_friction_score,maximum_friction_score,total_anomalies
C000002,Angel,Hart,Other,Standard,B001573,T000024,2026-04-13,Confirmed,2773.45,Jeddah,Adventure,2026-06-10,2026-06-14,58.0,4710.36,-1936.9099999999999,0.5887978838135514,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,35.53,0.0,LOW,0,NO_ANOMALY,3,7712.4,2570.7999999999997,1,4,10.0,30.0,0
C000002,Angel,Hart,Other,Standard,B005934,T000028,2026-06-07,Confirmed,1340.07,Dubai,Luxury,2026-08-24,2026-08-28,78.0,2175.27,-835.2,0.6160476630487249,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,90.67,0.0,LOW,0,NO_ANOMALY,3,7712.4,2570.7999999999997,1,4,10.0,30.0,0
C000002,Angel,Hart,Other,Standard,B001687,T000003,2026-09-04,Confirmed,3598.88,Dubai,Family,2026-09-28,2026-10-02,24.0,3808.47,-209.5899999999997,0.9449674016074697,2,1,1,1,0.5,6.2,2,1,10,1,1,1,1,2,1,1,1,1,79.58,30.0,MEDIUM,0,NO_ANOMALY,3,7712.4,2570.7999999999997,1,4,10.0,30.0,0
C000003,Joshua,Stone,United Kingdom,Premium,B004065,T000022,2026-03-28,Confirmed,4981.88,Abu Dhabi,Adventure,2026-07-11,2026-07-21,105.0,4494.97,486.90999999999985,1.108323303603806,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,54.3,0.0,LOW,0,NO_ANOMALY,2,5780.57,2890.285,0,2,0.0,0.0,0
C000003,Joshua,Stone,United Kingdom,Premium,B001352,T000046,2026-07-23,Confirmed,798.69,Dubai,Adventure,2026-11-25,2026-12-04,125.0,3363.5,-2564.81,0.23745800505425899,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,93.42,0.0,LOW,0,NO_ANOMALY,2,5780.57,2890.285,0,2,0.0,0.0,0
C000004,Jeffrey,Welch,Pakistan,Standard,B000820,T000010,2026-02-19,Confirmed,1842.96,Mediterranean,Family,2026-08-03,2026-08-12,165.0,2824.86,-981.9000000000001,0.6524075529406766,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,51.73,0.0,LOW,0,NO_ANOMALY,1,1842.96,1842.96,0,1,0.0,0.0,0
C000005,Jill,Vasquez,Saudi Arabia,Standard,B000356,T000001,2025-12-02,Confirmed,727.5,Mediterranean,Adventure,2026-04-13,2026-04-21,132.0,4269.7,-3542.2,0.1703866782209523,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,77.65,0.0,LOW,0,NO_ANOMALY,2,3260.06,1630.03,0,2,0.0,0.0,0
C000005,Jill,Vasquez,Saudi Arabia,Standard,B006300,T000001,2025-12-24,Confirmed,2532.56,Mediterranean,Adventure,2026-04-13,2026-04-21,110.0,4269.7,-1737.1399999999999,0.5931470595123779,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,43.95,0.0,LOW,0,NO_ANOMALY,2,3260.06,1630.03,0,2,0.0,0.0,0
C000006,Erica,White,Saudi Arabia,Standard,B000817,T000041,2026-11-06,Confirmed,4497.45,Abu Dhabi,Cruise,2026-11-16,2026-11-25,10.0,3848.77,648.6799999999998,1.168542157624384,1,0,1,0,1.0,0.0,1,0,7,1,1,1,1,1,0,0,1,1,69.98,0.0,LOW,0,NO_ANOMALY,1,4497.45,4497.45,0,1,0.0,0.0,0
C000007,Patricia,Lynch,Saudi Arabia,Standard,B002921,T000006,2026-06-25,Confirmed,3455.41,Jeddah,Business,2026-07-08,2026-07-15,13.0,3631.03,-175.62000000000035,0.951633558521962,2,1,1,1,0.5,5.5,2,1,10,1,1,1,1,2,1,1,1,1,93.07,30.0,MEDIUM,0,NO_ANOMALY,1,3455.41,3455.41,1,2,30.0,30.0,0
