customer_id,first_name,last_name,country,customer_segment,total_bookings,total_booking_value,total_payment_attempts,total_failed_payments,total_successful_payments,total_retries,average_friction_score,maximum_friction_score,total_anomalies,high_risk_journeys,critical_journeys,problematic_journeys,severity_score,failure_rate_per_booking,retry_rate_per_booking,anomaly_rate_per_booking,frequency_score,problematic_journey_rate,persistence_score,customer_risk_score,customer_risk_level,behavior_profile,research_risk_signals
C000002,Angel,Hart,Other,Standard,3,7712.4,4,1,3,1,10.0,30.0,0,0,0,0,30.0,0.33,0.33,0.0,5.42,0.0,0.0,13.63,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000003,Joshua,Stone,United Kingdom,Premium,2,5780.57,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000004,Jeffrey,Welch,Pakistan,Standard,1,1842.96,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000005,Jill,Vasquez,Saudi Arabia,Standard,2,3260.06,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000006,Erica,White,Saudi Arabia,Standard,1,4497.45,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000007,Patricia,Lynch,Saudi Arabia,Standard,1,3455.41,2,1,1,1,30.0,30.0,0,0,0,0,30.0,1.0,1.0,0.0,16.25,0.0,0.0,16.88,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000008,Christopher,Erickson,Other,Standard,2,5822.62,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000010,Anthony,Smith,United Kingdom,Standard,3,12121.17,3,0,3,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000011,Jeffery,Johnson,Saudi Arabia,Standard,1,2406.1,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000012,William,Garrett,Other,Standard,2,6927.23,4,2,2,2,50.0,100.0,3,1,1,1,100.0,1.0,1.0,1.5,20.0,0.5,30.0,55.0,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | REPEATED_PAYMENT_FAILURES | CRITICAL_JOURNEY
C000013,Anthony,Wilson,United States,Premium,1,1750.67,3,2,1,2,100.0,100.0,3,1,1,1,100.0,2.0,2.0,3.0,40.0,1.0,30.0,61.0,HIGH,FRICTION_PRONE_CUSTOMER,HIGH_SEVERITY | REPEATED_PAYMENT_FAILURES | CRITICAL_JOURNEY
C000014,James,Charles,Saudi Arabia,Premium,1,589.09,2,1,1,1,30.0,30.0,0,0,0,0,30.0,1.0,1.0,0.0,16.25,0.0,0.0,16.88,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000016,Amy,Duarte,Saudi Arabia,Premium,1,3101.8,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000017,Jeffrey,Gutierrez,United Arab Emirates,Standard,3,7188.97,3,0,3,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000019,Lisa,Castro,United Arab Emirates,Premium,7,19257.99,11,4,7,4,30.71,65.0,6,2,0,4,65.0,0.57,0.57,0.86,11.43,0.57,82.86,54.29,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS
C000021,Linda,Smith,Pakistan,VIP,2,2187.74,2,0,2,0,20.0,40.0,1,0,0,1,40.0,0.0,0.0,0.5,1.25,0.5,30.0,25.38,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000022,Helen,Harris,Saudi Arabia,Standard,3,6247.24,3,0,3,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000023,Matthew,Campbell,Saudi Arabia,Standard,1,1485.49,1,0,1,0,40.0,40.0,1,0,0,1,40.0,0.0,0.0,1.0,2.5,1.0,30.0,25.75,MEDIUM,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000025,Susan,Parker,United Arab Emirates,Premium,2,6066.56,2,0,2,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000026,Matthew,Hunter,United States,Standard,1,2902.33,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000027,Christopher,Nguyen,Saudi Arabia,Standard,1,2273.86,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000028,Colin,Smith,Pakistan,Premium,2,6859.04,4,2,2,2,30.0,30.0,0,0,0,0,30.0,1.0,1.0,0.0,16.25,0.0,0.0,16.88,LOW,NORMAL_CUSTOMER,REPEATED_PAYMENT_FAILURES
C000029,Melanie,Jennings,Pakistan,Standard,3,11903.06,3,0,3,0,26.67,40.0,2,0,0,2,40.0,0.0,0.0,0.67,1.67,0.67,65.67,36.2,MEDIUM,NORMAL_CUSTOMER,PERSISTENT_BEHAVIOR | MULTIPLE_PROBLEMATIC_JOURNEYS
C000031,Lindsay,Ramsey,Pakistan,Premium,1,4021.81,2,1,1,1,30.0,30.0,0,0,0,0,30.0,1.0,1.0,0.0,16.25,0.0,0.0,16.88,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000033,Amanda,Johnson,Saudi Arabia,Standard,1,1287.64,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
C000035,Nicholas,Rivera,Other,Standard,2,3213.44,4,2,2,2,55.0,65.0,3,1,0,2,65.0,1.0,1.0,1.5,20.0,1.0,79.0,55.7,HIGH,FRICTION_PRONE_CUSTOMER,PERSISTENT_BEHAVIOR | REPEATED_PAYMENT_FAILURES | MULTIPLE_PROBLEMATIC_JOURNEYS
C000036,Andrea,Morgan,United States,Premium,1,4185.64,1,0,1,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,NO_MAJOR_RISK_SIGNAL
