customer_id,first_name,last_name,country,customer_segment,total_bookings,total_failed_payments,total_retries,total_anomalies,problematic_journeys,severity_score,frequency_score,persistence_score,customer_risk_score,customer_risk_level,behavior_profile,risk_segment,segment_reason
C000002,Angel,Hart,Other,Standard,3,1,1,0,0,30.0,5.42,0.0,13.63,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000003,Joshua,Stone,United Kingdom,Premium,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000004,Jeffrey,Welch,Pakistan,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000005,Jill,Vasquez,Saudi Arabia,Standard,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000006,Erica,White,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000007,Patricia,Lynch,Saudi Arabia,Standard,1,1,1,0,0,30.0,16.25,0.0,16.88,LOW,NORMAL_CUSTOMER,FREQUENT_FRICTION,Frequency score 16.25 | Repeated problematic activity
C000008,Christopher,Erickson,Other,Standard,2,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000010,Anthony,Smith,United Kingdom,Standard,3,0,0,0,0,0.0,0.0,0.0,0.0,LOW,LOYAL_LOW_FRICTION_CUSTOMER,LOYAL_STABLE_CUSTOMER,Multiple bookings | Low journey friction | Minimal problematic journeys
C000011,Jeffery,Johnson,Saudi Arabia,Standard,1,0,0,0,0,0.0,0.0,0.0,0.0,LOW,NORMAL_CUSTOMER,STABLE_CUSTOMER,Low overall risk | Low severity | Low frequency
C000012,William,Garrett,Other,Standard,2,2,2,3,1,100.0,20.0,30.0,55.0,HIGH,FRICTION_PRONE_CUSTOMER,RECENT_HIGH_SEVERITY,High severity score 100.00 | Limited evidence of repeated behavior
