customer_id,first_name,last_name,country,signup_date,date_of_birth,customer_segment
C000001,Daniel,Brown,United Arab Emirates,2025-12-10,2001-07-01,Premium
C000002,Amy,Schmitt,Other,2025-12-30,1982-02-27,Standard
C000003,Stephanie,Terrell,United Kingdom,2024-04-24,1970-10-07,Premium
C000004,Sean,Williams,Pakistan,2025-11-08,1991-08-18,Standard
C000005,Tiffany,Massey,Saudi Arabia,2023-03-25,1975-05-10,Standard
C000006,Jennifer,Harvey,Saudi Arabia,2026-03-24,1995-04-26,Standard
C000007,David,Moore,Saudi Arabia,2024-07-18,1985-06-10,Standard
C000008,Sean,Burns,Other,2024-09-10,1987-01-01,Standard
C000009,David,Williams,Pakistan,2023-12-23,1975-02-22,Premium
C000010,Zachary,James,United Kingdom,2025-03-26,1988-07-04,Standard
C000011,Pamela,Martin,Saudi Arabia,2024-10-08,1977-05-15,Standard
C000012,Michelle,Weber,Other,2024-03-18,2005-11-19,Standard
C000013,Melissa,Moore,United States,2025-12-28,1981-08-05,Premium
C000014,Albert,Lynch,Saudi Arabia,2024-06-06,2004-03-28,Premium
C000015,Tammy,Hill,Saudi Arabia,2023-05-23,1970-01-27,Standard
C000016,James,Campbell,Saudi Arabia,2023-07-11,1980-08-23,Premium
C000017,Derek,Leon,United Arab Emirates,2024-01-13,1985-12-23,Standard
C000018,Brian,Frye,Pakistan,2024-08-03,1979-05-15,Standard
C000019,Steven,Torres,United Arab Emirates,2024-06-18,1970-12-10,Premium
C000020,Tracy,Williams,Saudi Arabia,2025-10-29,1975-08-05,Standard
C000021,Sarah,Williams,Pakistan,2023-04-03,1998-12-22,VIP
C000022,Kristina,Salas,Saudi Arabia,2024-06-12,1966-06-24,Standard
C000023,Mariah,Wood,Saudi Arabia,2026-03-23,1998-10-12,Standard
C000024,Melissa,Burton,United Arab Emirates,2024-02-09,1978-07-09,Premium
C000025,Walter,Williams,United Arab Emirates,2025-04-19,2002-07-06,Premium
C000026,Allison,Stanley,United States,2026-03-18,2004-08-09,Standard
C000027,James,Miller,Saudi Arabia,2025-06-07,1964-06-02,Standard
C000028,Dustin,Anderson,Pakistan,2024-02-26,1999-06-01,Premium
C000029,Paula,Green,Pakistan,2024-04-16,1975-09-12,Standard
C000030,Megan,Davis,Saudi Arabia,2025-06-11,1968-10-21,Premium
C000031,Melissa,Solomon,Pakistan,2024-06-30,1971-12-13,Premium
C000032,Mary,Lyons,Saudi Arabia,2024-09-22,1993-08-04,Standard
C000033,Jorge,Henderson,Saudi Arabia,2025-11-03,1997-11-11,Standard
C000034,Nicholas,Thomas,Other,2025-02-16,1973-07-31,Standard
C000035,Jeffrey,Jones,Other,2023-12-30,1982-09-23,Standard
C000036,Erin,Johnson,United States,2023-04-29,1984-03-16,Premium
C000037,Christine,Hendricks,United Arab Emirates,2026-06-15,1981-03-01,VIP
C000038,Amber,Harding,Saudi Arabia,2024-06-29,1962-09-05,Standard
C000039,Angelica,Ramirez,United Kingdom,2026-04-07,1961-12-31,Standard
C000040,Joseph,Kelly,United Arab Emirates,2024-06-05,1960-02-26,Standard
C000041,Anna,Williams,Saudi Arabia,2024-09-25,1966-02-21,Standard
C000042,Austin,Payne,United Arab Emirates,2025-08-20,1964-08-28,Standard
C000043,Mary,Hayes,Saudi Arabia,2025-08-15,1982-09-25,Standard
C000044,Michelle,Greer,Other,2025-06-01,2001-05-05,Standard
C000045,Erica,Campbell,Saudi Arabia,2025-02-18,1995-08-03,Premium
C000046,Alejandra,Johnson,United Kingdom,2025-05-20,1985-09-19,Standard
C000047,Colleen,Calderon,United Arab Emirates,2024-05-30,1962-08-05,Premium
C000048,Antonio,Freeman,Pakistan,2025-07-26,1977-12-10,Premium
C000049,Andrew,Lopez,Pakistan,2025-05-15,1962-01-27,Standard
C000050,Steven,Willis,Saudi Arabia,2023-04-16,2000-09-13,Standard
C000051,Gary,Garcia,Other,2026-01-13,1991-09-15,Standard
C000052,Nicholas,Norris,United States,2023-08-02,1975-06-22,Standard
C000053,James,Lewis,Other,2026-02-18,1979-11-30,Premium
C000054,Allison,Cox,Other,2026-03-01,1987-06-21,Standard
C000055,Kimberly,Ortega,Pakistan,2025-04-29,1969-09-05,Standard
C000056,Devon,Carrillo,Other,2023-07-16,1984-03-28,Standard
C000057,Joel,Bennett,Saudi Arabia,2023-01-19,1962-06-27,Premium
